"","Excellent","Very Good","Good","Fair","Poor"
"01/02-03/04",3.44604864302978,18.0060995783051,36.8653009272996,29.9811858360044,11.701365015361
"05/06-07/08",2.82811853845577,14.6439614036881,40.859476414101,33.4562222533927,8.21222139036246
"09/10-11/12",2.63396132425247,12.8308065683825,41.0565347702711,33.1342445618867,10.3444527752072
"13/14-15/16",1.50233908133995,17.1425358952821,42.5006780728985,31.8105679364642,7.04387901401541
"2017-2018",1.42404018695246,15.4196908574108,47.1924742276948,30.6372169719792,5.32657775596279
