"","Unweighted_Count","Weighted_Count.total","Weighted_Count.high_srh","Proportion","Lower_CI","Upper_CI","SE","HBA1C"
"01/02-03/04",63,1165347.489422,223874.190298653,61.1175374992457,48.3100399074683,72.5544892643255,5.94072941685028,">9"
"05/06-07/08",63,1099003.496033,182210.954417905,54.0967720532356,40.6202852499371,66.9995176497738,6.5828119172995,">9"
"09/10-11/12",74,1025257.5394735,152134.573186356,44.8169778964058,34.1340420821304,56.0006874020737,5.415051939552,">9"
"13/14-15/16",89,1441430.0540415,234293.440606852,45.5502535228131,35.1342748261495,56.3706418926015,5.27889296898381,">9"
"2017-2018",44,782035.296016394,149905.030025825,55.6382869085089,42.1094014466895,68.3796327143991,6.26928662570541,">9"
