"","Unweighted_Count","Weighted_Count.total","Weighted_Count.low_srh","Proportion","Lower_CI","Upper_CI","SE","Education"
"nhanes01_02w",41,1319372.430073,264231.403661483,44.6492642040024,29.2537934337453,61.1443844118615,7.57964122275502,"High school"
"nhanes03_04w",40,1353572.876701,322717.285007658,38.6342885827139,28.3306280781751,50.0674477407436,5.10746691930355,"High school"
"nhanes05_06w",44,1367442.723906,303458.672464956,34.1850812105151,22.0483314664307,48.8186609395003,6.32980190584145,"High school"
"nhanes07_08w",65,2051650.014499,464715.532372789,45.9970843785081,36.915070426388,55.3529562794239,4.27980685575036,"High school"
"nhanes09_10w",55,1531065.608398,308985.727659617,44.3860813490118,27.807530191983,62.3167312638688,8.43718383992752,"High school"
"nhanes11_12w",61,2264604.758005,552313.205239848,45.0045849548638,27.3239253273332,64.0440980592463,9.03142067579998,"High school"
"nhanes13_14w",78,2695911.543903,382016.261196965,49.8736508854097,38.9071242041345,60.8523474059694,5.2330708635524,"High school"
"nhanes15_16w",79,1815725.481608,220746.84308378,37.2919872004852,24.7133652005413,51.8625608425883,6.51975083936429,"High school"
"nhanes17_18w",64,2679795.6333916,522983.918968787,36.8954163702781,27.0599104022191,47.9554641240917,4.96883037903311,"High school"
