"","Unweighted_Count","Weighted_Count.total","Weighted_Count.low_srh","Proportion","Lower_CI","Upper_CI","SE","Ethnicity"
"nhanes01_02w",79,985212.926292,365490.519503007,55.8731487768929,41.7301103041089,69.123373482021,6.0929539712824,"Hispanic"
"nhanes03_04w",86,713263.381432,200832.443624489,42.0824181655812,27.9345363801715,57.662387136801,5.95745371655174,"Hispanic"
"nhanes05_06w",67,1059444.252614,289788.160325904,49.8658726759827,30.5869246023418,69.1847854339689,8.99729346826783,"Hispanic"
"nhanes07_08w",105,1087159.434662,250635.704268204,56.3805263637516,45.9318117886322,66.291872135985,4.68964387335358,"Hispanic"
"nhanes09_10w",123,1373849.376736,451051.692836764,56.2511230612776,43.8974274041744,67.8752800717419,5.55345074788812,"Hispanic"
"nhanes11_12w",73,1618853.094612,442402.531114894,60.9495122790814,47.2339177144443,73.1282136295839,5.84934457373425,"Hispanic"
"nhanes13_14w",103,1823473.527754,286826.143206542,57.4189985720215,46.4630291288328,67.6919239178291,4.89531074942923,"Hispanic"
"nhanes15_16w",172,2537285.198523,594571.435270745,59.7593322658725,53.1149039631162,66.0637578961952,3.03499695000553,"Hispanic"
"nhanes17_18w",103,1774046.94691706,320107.959728057,52.2608771056174,40.6508049602208,63.631682707806,5.25054750842639,"Hispanic"
