"","Unweighted_Count","Weighted_Count.total","Weighted_Count.high_srh","Proportion","Lower_CI","Upper_CI","SE","Age"
"nhanes01_02w",90,1999462.998003,348757.743798537,49.8319508653284,39.4856869750132,60.1926260431621,4.92874588673901,">=65"
"nhanes03_04w",123,3632424.99671,679267.087385144,59.4782012588097,51.3197817192714,67.1446815865802,3.74244328703683,">=65"
"nhanes05_06w",96,3197921.025589,475604.114761831,62.847907833506,54.3373844632839,70.6296127895349,3.85346735738039,">=65"
"nhanes07_08w",154,3615750.697758,383495.443441436,56.5541187209241,48.2990186611025,64.4609947635659,3.8450681896241,">=65"
"nhanes09_10w",169,4654871.534027,399316.249707406,66.1847137911439,60.1280257721723,71.7535748038803,2.75265825911067,">=65"
"nhanes11_12w",139,4455183.131355,903116.80405221,57.4711422245878,45.2605544861862,68.8335456687625,5.69102556049016,">=65"
"nhanes13_14w",166,5429272.493144,686724.065894701,65.4673634739705,55.4160219451444,74.3034296550294,4.47763915869614,">=65"
"nhanes15_16w",189,6948733.010446,972123.07356256,69.2486090323541,58.0659360903981,78.5507451523057,4.85840286682887,">=65"
"nhanes17_18w",241,7927503.62464417,862586.734870504,68.8733787821293,60.5879137287852,76.1039986987548,3.66292850535936,">=65"
