"","Unweighted.Count","Proportion","Lower_CI","Upper_CI","SE","Age"
"nhanes01_02w",214,57.3963500622436,49.986808449849,64.4880169204862,3.4253104158596,"40-64"
"nhanes03_04w",228,58.5166256455484,51.8999451781882,64.8397338766271,3.05201582437377,"40-64"
"nhanes05_06w",208,61.3983714750975,55.5404103900703,66.9438703999931,2.68602482414503,"40-64"
"nhanes07_08w",300,51.6972169451928,44.2563477600173,59.0635778230475,3.51826276780402,"40-64"
"nhanes09_10w",306,55.5212668474072,47.5948028464784,63.1764060185888,3.70487181369207,"40-64"
"nhanes11_12w",305,56.8184002368756,47.8425875705875,65.3677028929418,4.19570340416279,"40-64"
"nhanes13_14w",332,59.492497754556,52.1164642781015,66.4634626082762,3.38799253239075,"40-64"
"nhanes15_16w",370,62.748860880354,53.4199053147666,71.2161604339108,4.21606874911839,"40-64"
"nhanes17_18w",420,63.4457386151239,58.4044032748867,68.2086586740802,2.30664829539499,"40-64"
