"","Unweighted_Count","Weighted_Count.total","Weighted_Count.low_srh","Proportion","Lower_CI","Upper_CI","SE","Sex"
"nhanes01_02w",98,2227703.889002,353136.353920764,36.3535257238269,26.2449351013766,47.830642058385,5.13703482748195,"Male"
"nhanes03_04w",101,2184392.770527,520209.651256243,32.8148403037552,23.5431979189271,43.6530714227605,4.7419766670941,"Male"
"nhanes05_06w",94,2114665.84974,269301.069275135,31.5564247394324,24.8914531650382,39.0775144513031,3.34574423523526,"Male"
"nhanes07_08w",142,2976908.071885,408692.52237255,38.2041771784785,29.7716435482164,47.4126622355894,4.20190206894947,"Male"
"nhanes09_10w",145,3222337.965548,381959.786075951,39.0891817948902,29.9843175849168,49.0229907412223,4.54288023380327,"Male"
"nhanes11_12w",145,3833171.846196,712657.955105297,40.6083556395615,28.5460305068769,53.9213347273943,6.14268515247973,"Male"
"nhanes13_14w",130,3784202.199233,448914.312054424,35.0429058047517,27.2735091751929,43.6957860736153,3.88345777754434,"Male"
"nhanes15_16w",175,4203651.580128,462734.274978614,31.5380662637178,23.5662703962965,40.7681659717523,4.06744570425535,"Male"
"nhanes17_18w",163,4592500.73134669,627141.844996461,32.2962755042055,24.143717538158,41.6887865323472,4.15092470391702,"Male"
