"","Unweighted_Count","Weighted_Count.total","Weighted_Count.high_srh","Proportion","Lower_CI","Upper_CI","SE","Sex"
"01/02-03/04",245,4345743.8356325,411589.081780423,65.3341684900414,57.9737533522963,72.0274824001235,3.45576669373207,"Male"
"05/06-07/08",295,4700874.1789135,432110.734928589,64.8695183654088,58.9876606819475,70.3320869827153,2.79179425048237,"Male"
"09/10-11/12",336,5313705.9474795,491626.076155248,60.099863953899,51.9481520232881,67.727790946371,3.90915603437133,"Male"
"13/14-15/16",417,8069866.455844,669405.684006004,66.8932749816856,60.8241585735771,72.4480655720132,2.85666182338658,"Male"
"2017-2018",260,4813703.73839781,530795.68407417,67.7037244957945,58.3112134676529,75.8562824618421,4.15092470391702,"Male"
