"","Unweighted_Count","Weighted_Count.total","Weighted_Count.low_srh","Proportion","Lower_CI","Upper_CI","SE","Poverty"
"nhanes01_02w",42,810219.208906,190023.39519127,52.6955901879637,31.3982200841159,73.055176156951,9.61522802964492,"Below-threshold"
"nhanes03_04w",74,1466189.775384,228317.939605941,64.7847887682652,49.5809010226126,77.4858225967929,6.61450659649411,"Below-threshold"
"nhanes05_06w",56,1200926.313088,171299.965859764,64.654136376812,48.329243532126,78.1528589527032,7.09499502965604,"Below-threshold"
"nhanes07_08w",82,1494548.442905,268477.863382085,63.6713778567448,55.4085773735503,71.1989360243529,3.6513318307645,"Below-threshold"
"nhanes09_10w",72,1302977.585258,289953.219730562,63.0395821358554,47.3144210018397,76.4111984078396,6.79032269432638,"Below-threshold"
"nhanes11_12w",102,2174085.335288,273095.398585855,57.3435842770075,46.6463467388099,67.3952025092993,4.96426040149609,"Below-threshold"
"nhanes13_14w",94,2245740.981132,390117.745252569,60.7352066962421,43.6677906174701,75.5293380966704,7.68146569482458,"Below-threshold"
"nhanes15_16w",122,2587474.009065,386970.515593354,62.0407555982195,53.336134596321,70.0339060113236,3.92690093808139,"Below-threshold"
"nhanes17_18w",77,2032974.36040783,423389.60795242,71.4666889479079,61.021468405689,80.0289346151383,4.4358265155652,"Below-threshold"
