"","Unweighted_Count","Weighted_Count.total","Weighted_Count.low_srh","Proportion","Lower_CI","Upper_CI","SE","CKD"
"nhanes01_02w",88,2339562.568279,432881.474827148,34.5723575862947,22.9204536537179,48.426207531342,6.10128105756385,"Non-CKD"
"nhanes03_04w",103,2769752.014503,651757.078070793,37.1079010291749,26.7840962776903,48.7608315806559,5.23392872135438,"Non-CKD"
"nhanes05_06w",91,2559919.440968,323777.631520316,31.3736332214678,23.1902478323041,40.9068328884234,4.19097010058724,"Non-CKD"
"nhanes07_08w",137,3342752.499667,575193.302587959,37.6597135581345,29.8087263369813,46.2169663979337,3.90276562893794,"Non-CKD"
"nhanes09_10w",164,4231147.342226,737971.589387851,45.5967665072643,33.323033722332,58.4296701774889,6.04996590872585,"Non-CKD"
"nhanes11_12w",121,3790897.841402,637876.976397825,36.82138323907,28.3895727098098,46.1437846631486,4.24874203358006,"Non-CKD"
"nhanes13_14w",148,4437145.439045,522811.008523036,37.2268453651875,28.2538081416838,47.1758045581099,4.48861854533481,"Non-CKD"
"nhanes15_16w",185,5126028.418803,500593.245226636,33.9736156101453,25.9469814765828,43.040121227002,4.04393966857962,"Non-CKD"
"nhanes17_18w",151,4337789.60373881,582250.567364839,30.2181774800411,22.7520431484119,38.9005542358762,3.81318042498078,"Non-CKD"
