"","Unweighted_Count","Proportion","Lower_CI","Upper_CI","SE","Ethnicity"
"nhanes01_02w",76,40.2169442150745,30.5189348819447,50.7459253613511,4.74402790115834,"White"
"nhanes03_04w",80,37.7504664812953,26.6822348210125,50.2624611613919,5.50761185469041,"White"
"nhanes05_06w",59,32.2413138211793,24.9309280085322,40.537739427368,3.60555458349326,"White"
"nhanes07_08w",108,42.017984851516,31.0742276589618,53.8071441031884,5.35233453376299,"White"
"nhanes09_10w",96,37.9659073347997,27.4293532731351,49.7738947843377,5.32540061958816,"White"
"nhanes11_12w",81,39.5466353600039,27.5770822323988,52.9155508667687,5.98848109641925,"White"
"nhanes13_14w",95,34.1830876509235,26.0639323962187,43.3485743802919,4.06480000066904,"White"
"nhanes15_16w",71,27.9484237811582,17.2749271138092,41.8781804683597,5.77212303183063,"White"
"nhanes17_18w",103,32.2618522636313,27.1886900198676,37.7903157613675,2.47908658764671,"White"
