"","Unweighted_Count","Weighted_Count.total","Weighted_Count.high_srh","Proportion","Lower_CI","Upper_CI","SE","Race"
"nhanes01_02w",43,774231.804751,181140.92454246,48.9946957694333,35.0524827915308,63.0950793384492,6.24762996372658,"NH Black"
"nhanes03_04w",50,1058455.209877,234786.936102987,51.7693198997964,43.5549791223776,59.8891329409085,3.48503711751573,"NH Black"
"nhanes05_06w",63,1217966.889414,246983.160282566,47.2981835521088,36.6743072285319,58.1724981425211,4.82678263738312,"NH Black"
"nhanes07_08w",102,1671513.172993,367781.865298007,53.6346143765731,42.7114147094509,64.2198279781873,4.90269539253731,"NH Black"
"nhanes09_10w",67,1195266.025106,206979.813465008,48.4350371586797,36.5801620915011,60.4686902563208,5.38395337101036,"NH Black"
"nhanes11_12w",111,1614531.692546,296614.690933754,49.2602745904759,40.0101777351037,58.5612966225842,4.3437922005949,"NH Black"
"nhanes13_14w",81,1522386.33888,233892.211726775,50.0783822901419,37.71847062852,62.4287219389614,5.73208141763021,"NH Black"
"nhanes15_16w",102,1997102.994203,358781.549227486,57.2511417776048,48.0584650314259,65.9689462292733,4.06199949082064,"NH Black"
"nhanes17_18w",100,1588238.86681409,297399.283797998,57.131570331066,48.861533635172,65.021603444106,3.65773886693221,"NH Black"
