"","Unweighted_Count","Weighted_Count.total","Weighted_Count.low_srh","Proportion","Lower_CI","Upper_CI","SE","Ethnicity"
"01/02-03/04",92,917553.7893295,148701.478204347,49.6335564846087,42.4622409382685,56.819980903234,3.39150233169385,"Black"
"05/06-07/08",169,1401041.905848,163686.080981685,49.2322299051352,42.0405834834059,56.4557919499261,3.46778068703083,"Black"
"09/10-11/12",181,1467763.4588575,197584.373833168,51.0941870829112,44.0856419548668,58.0599771178061,3.3913204998141,"Black"
"13/14-15/16",156,1504418.8149485,228195.342776278,46.0889542955744,39.0410387461288,53.2967940086835,3.45086004427541,"Black"
"2017-2018",72,595864.123504277,121564.857637568,42.8684296689339,34.978396555894,51.138466364828,3.65773886693221,"Black"
