"","Unweighted_Count","Weighted_Count.total","Weighted_Count.high_srh","Proportion","Lower_CI","Upper_CI","SE","HBA1C"
"01/02-03/04",142,2415016.100913,293171.65121509,57.7437643338287,50.641914745243,64.5392901094781,3.42402029646371,"7-9"
"05/06-07/08",170,2673308.802222,327216.558976916,54.8069023173215,46.6011553023406,62.7593653600601,3.98481451845167,"7-9"
"09/10-11/12",199,3225317.2998995,369997.875774361,55.8869006471363,46.9773244904889,64.4328495381668,4.32844738659479,"7-9"
"13/14-15/16",258,4866383.3680635,533739.937344774,61.0134717751978,52.9707499886605,68.4987212957884,3.83090686906517,"7-9"
"2017-2018",149,2798292.00276521,351144.417098067,60.6215570544828,51.5946593198008,68.9772521413515,4.11731825973762,"7-9"
