"","Unweighted_Count","Weighted_Count.total","Weighted_Count.low_srh","Proportion","Lower_CI","Upper_CI","SE","Education"
"01/02-03/04",238,2353106.1996045,294837.974509262,61.5110698082979,54.8279036515809,67.7864089212222,3.18478352427639,"Below high school"
"05/06-07/08",274,2549008.468898,286012.090644067,58.5700723913229,50.384557733888,66.3081775806488,3.93621127219883,"Below high school"
"09/10-11/12",287,2827231.6382725,250281.019979915,58.6890247900793,50.6500495064001,66.290024299109,3.86492350180048,"Below high school"
"13/14-15/16",269,2731990.358182,283889.254655573,56.3864605235479,49.4943003839613,63.0404270926382,3.33659503830869,"Below high school"
"2017-2018",134,1322673.33474839,290294.004036691,64.7093121268688,54.1429553677029,74.0097032028971,4.68683825098506,"Below high school"
