"","Unweighted_Count","Weighted_Count.total","Weighted_Count.high_srh","Proportion","Lower_CI","Upper_CI","SE","Insurance"
"nhanes01_02w",194,6340594.96078,640899.989163239,58.7518497951334,50.8827552112777,66.1977445460765,3.62015715088709,"Insured"
"nhanes03_04w",212,7557833.180905,1033735.97597222,59.932258689019,52.9072613893359,66.571437497404,3.22465169676318,"Insured"
"nhanes05_06w",205,8427438.744041,940315.087301028,65.7349974750588,59.2760673354206,71.6593048754401,2.91787004945794,"Insured"
"nhanes07_08w",295,8230108.198544,726319.62934022,55.9925305684391,48.3843618235367,63.3292035480547,3.55108550979305,"Insured"
"nhanes09_10w",282,8436904.57509901,748283.007245901,58.788818428157,50.4727400201462,66.6316968244487,3.84380536806442,"Insured"
"nhanes11_12w",277,9652907.270458,1158744.0231731,57.7624730446086,49.0354777312074,66.0303300399566,4.06600836416232,"Insured"
"nhanes13_14w",318,12133511.106861,1146472.24191085,61.8244963578838,55.2218937999366,68.0173894271789,3.01704460056921,"Insured"
"nhanes15_16w",363,14604743.069801,1701819.52531296,65.151310500002,56.2936748285269,73.0725077418683,3.96904648616164,"Insured"
"nhanes17_18w",405,15651512.7480707,1033642.99637848,66.010569421758,61.5412903171574,70.2118696276265,2.03836581383806,"Insured"
