"","Unweighted_Count","Weighted_Count.total","Weighted_Count.high_srh","Proportion","Lower_CI","Upper_CI","SE","Age"
"01/02-03/04",229,4929617.7455305,471878.805113874,59.9565038198927,52.8386539294352,66.6775685041753,3.40902123025548,"<65"
"05/06-07/08",294,5578367.2460555,486814.718353229,57.730443680763,51.7236085045077,63.5170513389166,2.9044095499476,"<65"
"09/10-11/12",321,5454915.8113575,472857.94802054,52.8708132881657,45.8989564579349,59.732438930586,3.42156535785374,"<65"
"13/14-15/16",381,7869396.4579355,580877.144340573,56.9095153847022,51.3714446975124,62.2799830222381,2.68114029659896,"<65"
"2017-2018",191,4211668.07775626,332566.451967708,60.065928437078,51.9019969268899,67.7063457311517,3.73732388677754,"<65"
