"","Unweighted_Count","Weighted_Count.total","Weighted_Count.high_srh","Proportion","Lower_CI","Upper_CI","SE","Ethnicity"
"01/02-03/04",21,582033.227973,180363.392806851,61.5951697549483,37.0945886127116,81.3507105552275,9.20756463357216,"Other"
"05/06-07/08",16,495495.1513145,153311.79628736,63.4719465050667,30.0313724590047,87.5538131524276,10.1871899723918,"Other"
"09/10-11/12",61,890198.170476,253869.030988521,63.5156503235002,45.7938996445767,78.2015134422257,7.75577365401396,"Other"
"13/14-15/16",98,1051573.751534,163706.27351647,54.3874803224228,43.0149591708641,65.3202092874753,5.46890054374201,"Other"
"2017-2018",95,997801.654134841,198162.10662934,68.7196114151165,54.7797464454729,79.9361917860633,6.00330192093814,"Other"
