"","Unweighted_Count","Weighted_Count.total","Weighted_Count.low_srh","Proportion","Lower_CI","Upper_CI","SE","HBA1C"
"01/02-03/04",64,741384.255034,151973.679225383,38.8824625007543,27.4455107356745,51.6899600925317,5.94072941685028,">9"
"05/06-07/08",90,932547.4708215,145445.303103167,45.9032279467644,33.0004823502262,59.3797147500629,6.5828119172995,">9"
"09/10-11/12",108,1262396.799566,187398.992558505,55.1830221035942,43.9993125979263,65.8659579178696,5.415051939552,">9"
"13/14-15/16",123,1723053.000525,209932.34176871,54.4497464771869,43.6293581073985,64.8657251738506,5.27889296898381,">9"
"2017-2018",54,623535.111466437,88808.214954288,44.3617130914911,31.6203672856009,57.8905985533105,6.26928662570541,">9"
