"","Unweighted_Count","Weighted_Count.total","Weighted_Count.low_srh","Proportion","Lower_CI","Upper_CI","SE","Sex"
"01/02-03/04",229,3335342.1519865,366335.519960536,48.4642580779546,41.3262092108494,55.6655199234569,3.53496585103718,"Female"
"05/06-07/08",285,3872684.4928815,409248.602941322,47.4767453806392,42.5107565606694,52.4931488440664,2.4554052180967,"Female"
"09/10-11/12",308,4172338.1177665,396654.439822525,47.046317699139,41.5957070874585,52.5682976967916,2.70747310745603,"Female"
"13/14-15/16",351,4939369.1402165,336614.957224298,45.1996109462708,39.6568820372238,50.8640333502738,2.75525942939312,"Female"
"2017-2018",157,2295201.00925386,314472.7256626,40.5733537183124,32.1547123266187,49.5852236012464,4.12940253301898,"Female"
