"","Unweighted_Count","Weighted_Count.total","Weighted_Count.low_srh","Proportion","Lower_CI","Upper_CI","SE"
"nhanes01_02w",207,5011683.622185,454565.927350363,42.2485926163225,34.8347602144644,50.0289273883978,3.59137730456122
"nhanes03_04w",221,5830579.342968,1132347.9622625,41.1624839029405,34.0631729702828,48.6497144253849,3.44548175741971
"nhanes05_06w",204,5398772.514271,468739.143075984,37.7806379876014,31.4572357917654,44.5489970156226,3.08755515930717
"nhanes07_08w",317,7438170.393117,1094146.41516451,45.0318886717667,38.3602148713368,51.8871525989148,3.20993391042041
"nhanes09_10w",304,7065175.351108,753255.28374734,43.6584431784851,35.7766309472296,51.8741423310422,3.82950502690666
"nhanes11_12w",294,8335010.696169,1075311.66154427,43.3274906810125,35.6382757942211,51.3520462081058,3.75449697758882
"nhanes13_14w",305,8787712.11801899,729289.298037501,40.6179235006789,33.8972953650018,47.7093153447175,3.2600809330167
"nhanes15_16w",351,9078879.941775,800252.759143423,37.2874844649499,29.6284158551666,45.6423099874406,3.78663183133219
"nhanes17_18w",320,9182902.74985441,928129.753373497,35.963794727942,31.4976416442601,40.6870862264522,2.16116831730846
