"","Unweighted_Count","Weighted_Count.total","Weighted_Count.low_srh","Proportion","Lower_CI","Upper_CI","SE","Education"
"01/02-03/04",109,1874318.84609,281184.324824982,29.6449178000393,24.0276426142634,35.9539356947389,2.92573266313109,"College"
"05/06-07/08",138,2159916.6155935,293710.412088941,31.6640421826477,25.2266894115144,38.8897170109617,3.36639248726089,"College"
"09/10-11/12",195,2975026.2021645,366037.481828537,34.3852475533559,28.2870956029172,41.0455938886965,3.1504441686897,"College"
"13/14-15/16",230,3945487.1589595,304378.902582382,30.3280535834876,25.2894308710054,35.8883310243473,2.60222455773491,"College"
"2017-2018",122,1928880.22348302,362781.165391792,27.2008968768796,18.998440351377,37.3133845429275,4.32614535392689,"College"
