"","Unweighted_Count","Weighted_Count.total","Weighted_Count.low_srh","Proportion","Lower_CI","Upper_CI","SE"
"01/02-03/04",428,5641162.017352,617962.720167944,41.6825508793118,36.69146124786,46.8501430430385,2.49545257710562
"05/06-07/08",521,6418471.45369399,595162.322830704,41.668443651369,36.9553687137473,46.5388872132849,2.35647639051164
"09/10-11/12",598,7700093.0236385,656446.626152194,43.4786973371462,38.1118061218331,49.0029401729088,2.68705998436644
"13/14-15/16",656,8933296.029897,541356.481153752,38.8544469517259,33.8098089694954,44.1497215398966,2.54002846481495
"2017-2018",320,4591451.37492721,464064.876686749,35.963794727942,31.4976416442601,40.6870862264522,2.16116831730846
