"","Unweighted_Count","Weighted_Count.total","Weighted_Count.low_srh","Proportion","Lower_CI","Upper_CI","SE","Age"
"nhanes01_02w",95,2012948.644091,194897.035205002,50.1680491346716,39.8073739568379,60.5143130249868,4.928745886739,">=65"
"nhanes03_04w",127,2474728.413838,464996.193739403,40.5217987411903,32.8553184134199,48.6802182807286,3.74244328703683,">=65"
"nhanes05_06w",79,1890428.190523,243966.477427812,37.1520921664939,29.3703872104651,45.6626155367161,3.85346735738039,">=65"
"nhanes07_08w",142,2777684.081158,425249.919633814,43.445881279076,35.5390052364341,51.7009813388975,3.8450681896241,">=65"
"nhanes09_10w",129,2378280.484604,282865.715502362,33.8152862088561,28.2464251961197,39.8719742278277,2.75265825911067,">=65"
"nhanes11_12w",132,3296851.992527,427615.10062629,42.5288577754122,31.1664543312375,54.7394455138138,5.69102556049016,">=65"
"nhanes13_14w",121,2863825.326967,331486.672484334,34.5326365260295,25.6965703449706,44.5839780548555,4.47763915869614,">=65"
"nhanes15_16w",145,3085740.038957,484465.087585711,30.7513909676459,21.4492548476943,41.9340639096019,4.85840286682887,">=65"
"nhanes17_18w",139,3582754.42400079,487446.957940851,31.1266212178707,23.8960013012452,39.4120862712148,3.66292850535936,">=65"
