"","Unweighted_Count","Weighted_Count.total","Weighted_Count.high_srh","Proportion","Lower_CI","Upper_CI","SE","HBA1C"
"01/02-03/04",224,4171423.166664,493202.51648091,58.5190783464965,50.8298248049503,65.8145856555163,3.69560291609433,"<7"
"05/06-07/08",299,5101178.642331,471406.677709833,62.6222783594125,56.888673302299,68.0219780198836,2.73988657519811,"<7"
"09/10-11/12",339,5491369.1384495,487902.570731394,60.8982589567201,54.5983369034121,66.854695932644,3.02649404224528,"<7"
"13/14-15/16",367,7487012.839327,744048.996868407,65.6000335805818,58.493823446783,72.070519983991,3.34187401404692,"<7"
"2017-2018",228,4521406.05922604,479630.677575453,69.1356392593608,63.5655281668704,74.1998242138407,2.50191051267527,"<7"
