"","Unweighted_Count","Weighted_Count.total","Weighted_Count.low_srh","Proportion","Lower_CI","Upper_CI","SE","Age"
"nhanes01_02w",112,2998734.978094,373942.704639088,38.2006569887402,30.0457878831689,47.0792887493073,4.03250175718855,"<65"
"nhanes03_04w",94,3355850.92913,812092.625360857,41.6480808027215,30.8745504296736,53.2831892056906,5.34465718559638,"<65"
"nhanes05_06w",125,3508344.323748,326454.883527961,38.1282206302935,29.4785342668851,47.6027362251128,4.2959424672204,"<65"
"nhanes07_08w",175,4660486.311959,722971.947263808,46.0334598885008,38.8205519369279,53.4164209667608,3.46718106816424,"<65"
"nhanes09_10w",175,4686894.866504,684040.340682341,51.2246498775445,40.1287076036945,62.2011954255834,5.29306106968517,"<65"
"nhanes11_12w",162,5038158.703642,709470.696721397,43.8665349320408,34.8943411118336,53.2585234102296,4.40123496064412,"<65"
"nhanes13_14w",184,5923886.791052,523457.222458412,44.4004165762419,37.5216224063866,51.5007855452216,3.30059543808722,"<65"
"nhanes15_16w",206,5993139.902818,647368.311727256,41.8694956019966,33.3318273207755,50.9236174436552,4.16885794832555,"<65"
"nhanes17_18w",181,5600148.32585362,942223.127801071,39.934071562922,32.2936542688483,48.0980030731101,3.73732388677754,"<65"
