"","Unweighted_Count","Weighted_Count.total","Weighted_Count.high_srh","Proportion","Lower_CI","Upper_CI","SE","Sex"
"nhanes01_02w",94,2950498.973697,496509.128529771,51.4519126237719,40.9989315524758,61.7793972140451,4.94670937658039,"Female"
"nhanes03_04w",103,3861881.046248,618270.500672515,51.4364180289705,41.1570670279624,61.5956652602584,4.86296007042512,"Female"
"nhanes05_06w",100,4304458.595139,572685.419201735,56.7229568152403,48.0129569200018,65.036341032631,4.03189358606971,"Female"
"nhanes07_08w",149,4264199.262492,600693.810973419,48.8707585446983,43.4444169483369,54.3238454691255,2.57620884239136,"Female"
"nhanes09_10w",145,4096446.717634,399719.844989999,51.597180103253,43.5313165059756,59.5806808254738,3.81837616080753,"Female"
"nhanes11_12w",148,5296027.675504,701749.197741588,54.0528661177467,46.00212998005,61.89748121198,3.79900010030601,"Female"
"nhanes13_14w",155,5832781.801678,557500.777433495,53.8263637795645,46.6175315838376,60.8786570267597,3.36822895562725,"Female"
"nhanes15_16w",164,6144283.706095,908261.863927944,55.7582192680806,46.4604978266049,64.6691497746718,4.3189292758372,"Female"
"nhanes17_18w",172,6723432.30336106,1048718.40724814,59.4266462816876,50.4147763987536,67.8452876733813,4.12940253301898,"Female"
