"","Unweighted_Count","Weighted_Count.total","Weighted_Count.low_srh","Proportion","Lower_CI","Upper_CI","SE","Age"
"01/02-03/04",222,2348789.785701,255389.335549107,44.2196756054774,38.1757074810108,50.439845401882,3.01755130159835,">=65"
"05/06-07/08",221,2334056.1358405,245131.156861536,40.656680823315,35.0572749954995,46.5099303640876,2.81958643247019,">=65"
"09/10-11/12",261,2837566.2385655,256353.119393102,38.3839069632933,32.2484626498099,44.9128425885667,3.12811794604399,">=65"
"13/14-15/16",266,2974782.682962,293508.873428116,32.4623783722489,26.02662161258,39.6368259137906,3.34921086055778,">=65"
"2017-2018",139,1791377.21200039,243723.478970425,31.1266212178707,23.8960013012452,39.4120862712148,3.66292850535936,">=65"
