"","Unweighted_Count","Weighted_Count.total","Weighted_Count.high_srh","Proportion","Lower_CI","Upper_CI","SE","HBA1C"
"nhanes01_02w",34,1318526.055595,351461.197437871,63.7936256638716,43.4227172333932,80.1780673011123,8.7210473078601,">9"
"nhanes03_04w",29,904686.688292,226202.37396014,56.9503734864416,39.4752422506799,72.8501325725813,7.7816078382414,">9"
"nhanes05_06w",22,921021.607142,258650.716042016,48.8293812819305,28.9261680391903,69.1108330888035,9.85563469707237,">9"
"nhanes07_08w",41,1276985.384924,256716.058575398,58.660776018033,39.2162211554599,75.7340092748011,8.91164836642465,">9"
"nhanes09_10w",33,724886.254763,161303.461395419,42.9180514211831,26.9206112019353,60.5458892146632,8.02209365603956,">9"
"nhanes11_12w",41,1325628.824184,257994.005310656,45.9281859282544,31.3622409033287,61.224766376232,7.22386697985892,">9"
"nhanes13_14w",41,1381899.17071,320245.924578327,45.5836303389964,28.7993598513919,63.4348070737643,8.47254850410385,">9"
"nhanes15_16w",48,1500960.937373,342076.326331652,45.5195675203951,32.3736702432173,59.3210469719866,6.48010266907489,">9"
"nhanes17_18w",44,1564070.59203279,299810.060051649,55.6382869085089,42.1094014466895,68.3796327143991,6.26928662570541,">9"
