"","Unweighted_count","Proportion","Lower","Upper","SE"
"nhanes01_02w",236,58.2253823554637,50.7574308787067,65.3342757183408,0.0344328090519143
"nhanes03_04w",239,57.2828589903257,50.5982484871134,63.7116631351742,0.0309358722284699
"nhanes05_06w",227,61.3966500889981,54.5951232832324,67.7806027388573,0.0311009295945985
"nhanes07_08w",333,53.8287685026286,46.9804800205856,60.5355431299441,0.0321677335619859
"nhanes09_10w",325,56.2345928876773,48.2880665693456,63.8735689842649,0.0370570417165756
"nhanes11_12w",322,56.2471705859426,47.9959763826173,64.1666095711086,0.0386562076858259
"nhanes13_14w",348,59.345863162131,52.2258579912783,66.0936515252207,0.0327341695184435
"nhanes15_16w",398,62.074174381733,53.6862582933651,69.7975764262742,0.0381034303239518
"nhanes17_18w",437,63.4172781088814,58.5723277219548,68.0051243989039,0.0221877313843914
