"","Unweighted_Count","Weighted_Count.total","Weighted_Count.high_srh","Proportion","Lower_CI","Upper_CI","SE","Ethnicity"
"01/02-03/04",108,902660.460504,177367.014099281,50.8551007717321,40.2855795547723,61.3487266302251,4.9489494337196,"Hispanic"
"05/06-07/08",114,953118.777818,150876.079343659,47.0345972463099,36.2996136907559,58.0511273337136,5.298122691157,"Hispanic"
"09/10-11/12",131,1052851.7606095,163686.402649483,41.3012130514698,33.2846093727756,49.8071554806711,3.99583919431036,"Hispanic"
"13/14-15/16",173,1530406.287227,297083.173701058,41.2421096615015,35.67227893489,47.0455832069753,2.77272426422703,"Hispanic"
"2017-2018",71,810275.773291359,96648.6990058866,47.7391228943826,36.368317292194,59.3491950397792,5.25054750842639,"Hispanic"
