"","Unweighted_Count","Weighted_Count.total","Weighted_Count.low_srh","Proportion","Lower_CI","Upper_CI","SE","Poverty"
"nhanes01_02w",152,3876615.710638,418071.753087223,41.1464967359166,32.5097158142434,50.3654813521437,4.23246924643572,"Above-threshold"
"nhanes03_04w",133,3880833.334138,815167.874746133,35.7848686995184,28.5795573778506,43.6953605387049,3.5704600159947,"Above-threshold"
"nhanes05_06w",137,3955419.742152,392599.249161328,33.5744582249666,27.9848593432151,39.665570868163,2.75076964208515,"Above-threshold"
"nhanes07_08w",193,5083083.491436,895265.546012819,40.530760133948,33.1482524844923,48.3678658540996,3.61667866381033,"Above-threshold"
"nhanes09_10w",202,5304490.149408,718924.948263152,41.0792329711778,33.3499959456977,49.2754423228158,3.78728788030835,"Above-threshold"
"nhanes11_12w",166,5715885.682434,1050209.67110812,39.9609617300698,30.21374087082,50.5738842425694,4.89037818156127,"Above-threshold"
"nhanes13_14w",191,6071305.014862,657893.761036859,36.1670411683153,30.6151365344296,42.1146508411048,2.70841110445618,"Above-threshold"
"nhanes15_16w",194,5657360.93405,559264.789371795,31.6477748259032,24.2213401921275,40.1449318776796,3.76095818915726,"Above-threshold"
"nhanes17_18w",203,6446694.08976871,770715.493505236,32.0736823552522,26.6451023653161,38.0347970387531,2.68124769983411,"Above-threshold"
