"","Unweighted_Count","Weighted_Count.total","Weighted_Count.low_srh","Proportion","Lower_CI","Upper_CI","SE","Ethnicity"
"01/02-03/04",165,872304.974243,225413.86593377,49.1448992282679,38.6512733697749,59.7144204452277,4.9489494337196,"Hispanic"
"05/06-07/08",172,1073301.843638,191569.461370472,52.9654027536901,41.9488726662864,63.7003863092441,5.298122691157,"Hispanic"
"09/10-11/12",196,1496351.235674,315898.571201175,58.6987869485302,50.1928445193289,66.7153906272244,3.99583919431036,"Hispanic"
"13/14-15/16",275,2180379.3631385,330069.851723333,58.7578903384985,52.9544167930247,64.32772106511,2.77272426422703,"Hispanic"
"2017-2018",103,887023.473458529,160053.979864028,52.2608771056174,40.6508049602208,63.631682707806,5.25054750842639,"Hispanic"
