"","Unweighted_Count","Weighted_Count.total","Weighted_Count.low_srh","Proportion","Lower_CI","Upper_CI","SE","Age"
"01/02-03/04",206,3292372.231651,454549.352955557,40.0434961801073,33.3224314958247,47.1613460705648,3.40902123025548,"<65"
"05/06-07/08",300,4084415.3178535,396629.936940493,42.269556319237,36.4829486610834,48.2763914954923,2.9044095499476,"<65"
"09/10-11/12",337,4862526.785073,492762.584107996,47.1291867118343,40.2675610694141,54.1010435420651,3.42156535785374,"<65"
"13/14-15/16",390,5958513.346935,416261.094378418,43.0904846152978,37.7200169777619,48.6285553024876,2.68114029659897,"<65"
"2017-2018",181,2800074.16292681,471111.563900536,39.934071562922,32.2936542688483,48.0980030731101,3.73732388677754,"<65"
