"","Unweighted_Count","Weighted_Count.total","Weighted_Count.low_srh","Proportion","Lower_CI","Upper_CI","SE","HBA1C"
"01/02-03/04",212,2956889.9950485,393146.840665701,41.4809216535035,34.1854143444837,49.1701751950497,3.69560291609433,"<7"
"05/06-07/08",239,3044770.0135985,284701.514745582,37.3777216405875,31.9780219801164,43.111326697701,2.73988657519811,"<7"
"09/10-11/12",271,3525915.152637,361375.158997606,39.1017410432799,33.145304067356,45.4016630965879,3.02649404224528,"<7"
"13/14-15/16",282,3926110.643955,358537.522284386,34.3999664194182,27.929480016009,41.506176553217,3.34187401404692,"<7"
"2017-2018",145,2018500.2867095,287182.568972294,30.8643607406392,25.8001757861593,36.4344718331296,2.50191051267528,"<7"
