"","Unweighted_Count","Weighted_Count.total","Weighted_Count.high_srh","Proportion","Lower_CI","Upper_CI","SE"
"01/02-03/04",442,7892467.5281805,689342.358632697,58.3174491206882,53.1498569569615,63.30853875214,2.49545257710562
"05/06-07/08",544,8985203.10772901,623539.159805273,58.331556348631,53.4611127867151,63.0446312862527,2.35647639051164
"09/10-11/12",629,10009943.1440485,751561.124768565,56.5213026628537,50.9970598270912,61.8881938781669,2.68705998436644
"13/14-15/16",736,14058399.2097305,1047504.72866555,61.1455530482741,55.8502784601034,66.1901910305046,2.54002846481495
"2017-2018",432,8175419.89007834,502387.091693325,64.036205272058,59.3129137735478,68.5023583557399,2.16116831730846
