"","Unweighted_Count","Weighted_Count.total","Weighted_Count.high_srh","Proportion","Lower_CI","Upper_CI","SE","Ethnicity"
"01/02-03/04",93,931102.3504215,152053.880276809,50.3664435153913,43.1800190967659,57.5377590617315,3.39150233169385,"Black"
"05/06-07/08",165,1444740.0312035,221508.567500924,50.7677700948648,43.544208050074,57.9594165165941,3.46778068703083,"Black"
"09/10-11/12",178,1404898.858826,180845.872264019,48.9058129170888,41.9400228821939,55.9143580451332,3.3913204998141,"Black"
"13/14-15/16",183,1759744.6665415,214143.50724019,53.9110457044256,46.7032059913165,60.9589612538712,3.45086004427541,"Black"
"2017-2018",100,794119.433407046,148699.641898999,57.131570331066,48.861533635172,65.021603444106,3.65773886693221,"Black"
