"","Unweighted_Count","Weighted_Count.total","Weighted_Count.high_srh","Proportion","Lower_CI","Upper_CI","SE","Ethnicity"
"01/02-03/04",220,5476671.489282,537035.067597548,61.0889663316555,53.4218377255514,68.2442426224862,3.6236622130275,"White"
"05/06-07/08",249,6091849.147393,628004.428504429,62.47525104942,54.8535557968327,69.5250932292667,3.58580089999166,"White"
"09/10-11/12",259,6661994.354137,686482.061520553,61.1942788800225,52.6523788969092,69.0995439429137,4.04928092990202,"White"
"13/14-15/16",282,9716674.504428,1055461.29158645,68.9944921256663,61.1783367796798,75.8579778304105,3.59741174342571,"White"
"2017-2018",166,5573223.0292451,438582.71831788,67.7381477363687,62.2096842386325,72.8113099801324,2.47908658764671,"White"
