"","Unweighted_Count","Weighted_Count.total","Weighted_Count.low_srh","Proportion","Lower_CI","Upper_CI","SE","Ethnicity"
"01/02-03/04",156,3488403.250318,635214.839474951,38.9110336683445,31.7557573775138,46.5781622744486,3.62366221302751,"White"
"05/06-07/08",167,3658970.649352,632855.032200115,37.52474895058,30.4749067707333,45.1464442031673,3.58580089999165,"White"
"09/10-11/12",177,4224635.043357,693055.310929895,38.8057211199775,30.9004560570863,47.3476211030907,4.04928092990202,"White"
"13/14-15/16",166,4366586.6444895,504138.947315703,31.0055078743337,24.1420221695895,38.8216632203202,3.59741174342571,"White"
"2017-2018",103,2654375.76919748,347624.188159163,32.2618522636313,27.1886900198676,37.7903157613675,2.47908658764671,"White"
