"","Unweighted_Count","Weighted_Count.total","Weighted_Count.high_srh","Proportion","Lower_CI","Upper_CI","SE","Sex"
"nhanes01_02w",117,3900185.620053,390030.900383595,63.6464742761731,52.169357941615,73.7550648986234,5.13703482748195,"Male"
"nhanes03_04w",128,4472329.463399,708164.077646725,67.1851596962448,56.3469285772395,76.4568020810729,4.7419766670941,"Male"
"nhanes05_06w",118,4586555.429924,686140.656087214,68.4435752605676,60.922485548697,75.1085468349618,3.34574423523526,"Male"
"nhanes07_08w",177,4815192.927903,525442.431695717,61.7958228215215,52.5873377644106,70.2283564517836,4.20190206894947,"Male"
"nhanes09_10w",168,5021216.433867,580808.221114424,60.9108182051098,50.9770092587777,70.0156824150832,4.54288023380327,"Male"
"nhanes11_12w",168,5606195.461092,793376.71084367,59.3916443604385,46.0786652726057,71.4539694931231,6.14268515247973,"Male"
"nhanes13_14w",189,7014566.088755,809420.813888684,64.9570941952483,56.3042139263847,72.7264908248071,3.88345777754434,"Male"
"nhanes15_16w",228,9125166.82293299,1066421.03559615,68.4619337362821,59.2318340282477,76.4337296037035,4.06744570425534,"Male"
"nhanes17_18w",260,9627407.47679563,1061591.36814834,67.7037244957945,58.3112134676529,75.8562824618421,4.15092470391702,"Male"
