"","Unweighted_Count","Weighted_Count.total","Weighted_Count.low_srh","Proportion","Lower_CI","Upper_CI","SE","HBA1C"
"nhanes01_02w",108,2580596.154877,405948.582623275,44.252085182814,31.953813038435,57.2980045796611,6.07591361064922,"<7"
"nhanes03_04w",104,3108804.473737,643487.521450705,39.49674964523,30.8381493336301,48.8686797853623,4.27404020982715,"<7"
"nhanes05_06w",83,2509740.295022,250570.461088464,32.0625437797795,24.1330648171799,41.1831303985391,4.03160659676509,"<7"
"nhanes07_08w",156,3579799.732175,511306.418914951,42.2931313237597,35.6928424374085,49.1805167347664,3.2002038446602,"<7"
"nhanes09_10w",142,3335595.085727,352891.774007531,40.2122734832037,33.2508395302473,47.5919999853916,3.40497126291162,"<7"
"nhanes11_12w",129,3716235.219547,630741.958331613,38.155929117982,28.6182521014696,48.7034748522355,4.82120708805319,"<7"
"nhanes13_14w",140,3859661.6592,548494.646425507,36.2620080756444,27.8228929846202,45.6421676706466,4.22092588971748,"<7"
"nhanes15_16w",142,3992559.62871,461898.519575313,32.7730964217504,23.1667261198926,44.0776721556934,4.96636260168883,"<7"
"nhanes17_18w",145,4037000.57341899,574365.137944588,30.8643607406392,25.8001757861593,36.4344718331296,2.50191051267528,"<7"
