"","Excellent","Very Good","Good","Fair","Poor"
"nhanes01_02w",4.46648102777037,19.4785865198324,33.8063398361885,33.2570457611448,8.99154685506387
"nhanes03_04w",2.52390140225766,16.7905268321925,39.5230878626094,26.859500998842,14.3029829040985
"nhanes05_06w",2.92000317712547,15.683415093956,43.6159437927929,33.1238938961408,4.6567440399849
"nhanes07_08w",2.74862667237716,13.7447021288191,38.4747825317564,33.7437284312618,11.2881602357856
"nhanes09_10w",3.4325366777679,13.4224810031677,39.4865391481154,31.2348588872099,12.423584283739
"nhanes11_12w",1.96217991896055,12.3330753505011,42.3772540495614,34.7320549276946,8.59543575328228
"nhanes13_14w",0.945574148105344,17.7260306889318,40.7104716878906,34.2302246137837,6.38769886128863
"nhanes15_16w",1.99706058824477,16.6240631856083,44.0913917611985,29.6605471177294,7.62693734721909
"nhanes17_18w",1.42404018695246,15.4196908574108,47.1924742276948,30.6372169719792,5.32657775596279
