"","Unweighted_Count","Weighted_Count.total","Weighted_Count.high_srh","Proportion","Lower_CI","Upper_CI","SE","Age"
"01/02-03/04",213,2962849.78265,400835.057261793,55.7803243945226,49.560154598118,61.8242925189892,3.01755130159835,">=65"
"05/06-07/08",250,3406835.8616735,305478.325384441,59.343319176685,53.4900696359124,64.9427250045005,2.81958643247019,">=65"
"09/10-11/12",308,4555027.332691,493729.032223614,61.6160930367067,55.0871574114333,67.7515373501901,3.12811794604399,">=65"
"13/14-15/16",355,6189002.751795,595107.808054908,67.5376216277511,60.3631740862093,73.97337838742,3.34921086055778,">=65"
"2017-2018",241,3963751.81232208,431293.367435252,68.8733787821293,60.5879137287852,76.1039986987548,3.66292850535936,">=65"
