"","Unweighted_Count","Proportion","Lower_CI","Upper_CI","SE","Insurance"
"nhanes01_02w",178,41.2481502048666,33.8022554539234,49.1172447887223,3.62015715088709,"Insured"
"nhanes03_04w",195,40.067741310981,33.4285625025961,47.0927386106641,3.22465169676318,"Insured"
"nhanes05_06w",164,34.2650025249412,28.3406951245599,40.7239326645794,2.91787004945794,"Insured"
"nhanes07_08w",259,44.0074694315609,36.6707964519453,51.6156381764633,3.55108550979305,"Insured"
"nhanes09_10w",239,41.211181571843,33.3683031755513,49.5272599798538,3.84380536806442,"Insured"
"nhanes11_12w",247,42.2375269553914,33.9696699600434,50.9645222687926,4.06600836416233,"Insured"
"nhanes13_14w",253,38.1755036421163,31.9826105728211,44.7781062000634,3.01704460056921,"Insured"
"nhanes15_16w",296,34.848689499998,26.9274922581317,43.7063251714731,3.96904648616163,"Insured"
"nhanes17_18w",282,33.989430578242,29.7881303723735,38.4587096828426,2.03836581383806,"Insured"
