"","Unweighted_Count","Weighted_Count.total","Weighted_Count.low_srh","Proportion","Lower_CI","Upper_CI","SE","Sex"
"01/02-03/04",199,2305819.8653655,321937.177777214,34.6658315099586,27.9725175998765,42.0262466477037,3.45576669373208,"Male"
"05/06-07/08",236,2545786.9608125,244720.577269244,35.1304816345912,29.6679130172847,41.0123393180525,2.79179425048237,"Male"
"09/10-11/12",290,3527754.905872,404281.658981103,39.900136046101,32.272209053629,48.0518479767119,3.90915603437133,"Male"
"13/14-15/16",305,3993926.8896805,322353.481758488,33.1067250183144,27.5519344279868,39.1758414264229,2.85666182338657,"Male"
"2017-2018",163,2296250.36567334,313570.922498231,32.2962755042055,24.143717538158,41.6887865323472,4.15092470391702,"Male"
