"","Unweighted_Count","Weighted_Count.total","Weighted_Count.high_srh","Proportion","Lower_CI","Upper_CI","SE","Education"
"nhanes01_02w",94,3950958.968512,421118.617493568,71.9985511283388,62.9377301020277,79.5635032072696,3.92385880106413,"Above high school"
"nhanes03_04w",112,4670998.467327,827188.353148592,69.3332308901884,59.7222296426801,77.5143329610904,4.18189580537667,"Above high school"
"nhanes05_06w",93,4772770.600612,786421.41407921,71.0219213382807,63.1231011046872,77.8232604523475,3.46591427725894,"Above high school"
"nhanes07_08w",132,4550105.479508,368486.024063873,65.7285391560425,53.3586939549999,76.276343480744,5.49013818560175,"Above high school"
"nhanes09_10w",153,5235910.1765,574380.066939308,65.9158706647064,59.3512381931501,71.9218850600007,2.97850381087983,"Above high school"
"nhanes11_12w",165,6118122.245365,980234.567001767,65.3592306177903,53.6361387620423,75.4735845132182,5.24934359983543,"Above high school"
"nhanes13_14w",188,8243860.046081,982160.655089445,70.4090817928825,61.4754822977266,78.0120023817158,3.90517960677058,"Above high school"
"nhanes15_16w",218,9883895.44402799,1191212.42084157,69.0688272595543,61.1498139164501,76.0070133378812,3.50534002734242,"Above high school"
"nhanes17_18w",260,10324714.7281543,884586.983834813,72.7991031231204,62.6866154570725,81.0015596486231,4.3261453539269,"Above high school"
