"","Unweighted_Count","Weighted_Count.total","Weighted_Count.low_srh","Proportion","Lower_CI","Upper_CI","SE","Ethnicity"
"01/02-03/04",15,362900.0034615,112450.731559348,38.4048302450517,18.6492894447725,62.9054113872883,9.20756463357216,"Other"
"05/06-07/08",13,285157.054856,93894.162988214,36.5280534949333,12.4461868475725,69.9686275409953,10.1871899723918,"Other"
"09/10-11/12",44,511343.28575,106770.714613032,36.4843496764998,21.7984865577743,54.2061003554233,7.75577365401396,"Other"
"13/14-15/16",59,881911.2073205,166281.663691975,45.6125196775772,34.6797907125247,56.9850408291358,5.46890054374201,"Other"
"2017-2018",42,454188.008766924,90611.0768607823,31.2803885848835,20.0638082139367,45.2202535545271,6.00330192093814,"Other"
