"","Unweighted_Count","Weighted_Count.total","Weighted_Count.high_srh","Proportion","Lower_CI","Upper_CI","SE","Sex"
"01/02-03/04",197,3546723.692548,421284.916985578,51.5357419220454,44.3344800765431,58.6737907891506,3.53496585103718,"Female"
"05/06-07/08",249,4284328.9288155,414970.373613598,52.5232546193608,47.5068511559336,57.4892434393306,2.4554052180967,"Female"
"09/10-11/12",293,4696237.196569,403803.136134983,52.953682300861,47.4317023032084,58.4042929125415,2.70747310745603,"Female"
"13/14-15/16",319,5988532.7538865,532857.093953157,54.8003890537292,49.1359666497262,60.3431179627762,2.75525942939312,"Female"
"2017-2018",172,3361716.15168053,524359.20362407,59.4266462816876,50.4147763987536,67.8452876733813,4.12940253301898,"Female"
