"","Unweighted_Count","Weighted_Count.total","Weighted_Count.high_srh","Proportion","Lower_CI","Upper_CI","SE","Education"
"01/02-03/04",206,4448244.9698575,469515.451280269,70.3550821999607,64.0460643052611,75.9723573857366,2.92573266313109,"College"
"05/06-07/08",225,4661438.04006,434235.129409386,68.3359578173523,61.1102829890383,74.7733105884856,3.36639248726089,"College"
"09/10-11/12",318,5677016.2109325,568060.795083225,65.6147524466441,58.9544061113035,71.7129043970828,3.1504441686897,"College"
"13/14-15/16",406,9063877.7450545,771949.898628945,69.6719464165124,64.1116689756527,74.7105691289946,2.60222455773491,"College"
"2017-2018",260,5162357.36407717,442293.491917406,72.7991031231204,62.6866154570725,81.0015596486231,4.3261453539269,"College"
