"","Unweighted_Count","Weighted_Count.total","Weighted_Count.high_srh","Proportion","Lower_CI","Upper_CI","SE","Race"
"nhanes01_02w",52,778090.105413,217899.509092343,44.1268512231071,30.876626517979,58.2698896958911,6.0929539712824,"Hispanic"
"nhanes03_04w",56,981656.759862,263922.928929445,57.9175818344188,42.3376128631989,72.0654636198285,5.95745371655174,"Hispanic"
"nhanes05_06w",44,1065143.558168,280816.973444281,50.1341273240173,30.8152145660311,69.4130753976582,8.99729346826783,"Hispanic"
"nhanes07_08w",70,841093.997468,110436.373980907,43.6194736362484,33.708127864015,54.0681882113679,4.68964387335357,"Hispanic"
"nhanes09_10w",83,1068500.752415,215335.398240531,43.7488769387225,32.1247199282581,56.1025725958256,5.55345074788812,"Hispanic"
"nhanes11_12w",48,1037202.768804,246583.900354233,39.0504877209186,26.8717863704161,52.7660822855557,5.84934457373424,"Hispanic"
"nhanes13_14w",68,1352258.500151,395145.594500618,42.5810014279786,32.3080760821709,53.5369708711672,4.89531074942924,"Hispanic"
"nhanes15_16w",105,1708554.074303,443726.951550077,40.2406677341275,33.9362421038048,46.8850960368838,3.03499695000553,"Hispanic"
"nhanes17_18w",71,1620551.54658272,193297.398011773,47.7391228943826,36.368317292194,59.3491950397792,5.25054750842639,"Hispanic"
