"","Unweighted_Count","Weighted_Count.total","Weighted_Count.high_srh","Proportion","Lower_CI","Upper_CI","SE","Education"
"01/02-03/04",111,1971828.3936225,233514.510789751,58.242218976015,48.8389878447872,67.0820463802677,4.47758062951165,"High school"
"05/06-07/08",150,2520707.0889325,343063.205811374,59.5876136945187,51.5916969556995,67.104900954965,3.79558317850215,"High school"
"09/10-11/12",141,2342849.6309435,461447.498881969,55.2469643692245,42.2014981302801,67.6080116000367,6.35784468545148,"High school"
"13/14-15/16",163,2881394.160186,408916.505653811,56.0886679923288,47.0842623990423,64.7092833949747,4.35987879324501,"High school"
"2017-2018",109,2291712.68811315,283566.794994525,63.1045836297219,52.0445358759083,72.9400895977809,4.96883037903311,"High school"
