"","Unweighted_Count","Weighted_Count.total","Weighted_Count.high_srh","Proportion","Lower_CI","Upper_CI","SE","Education"
"nhanes01_02w",56,1635597.721383,279565.068459837,55.3507357959976,38.8556155881385,70.7462065662547,7.57964122275502,"High school"
"nhanes03_04w",55,2149980.382221,350020.306373736,61.3657114172861,49.9325522592564,71.6693719218249,5.10746691930355,"High school"
"nhanes05_06w",65,2632672.751863,406470.644237116,65.8149187894849,51.1813390604997,77.9516685335693,6.32980190584145,"High school"
"nhanes07_08w",85,2408741.426002,552766.739321183,54.0029156214919,44.6470437205762,63.084929573612,4.27980685575036,"High school"
"nhanes09_10w",71,1918361.693731,413782.254473975,55.6139186509882,37.6832687361312,72.192469808017,8.43718383992752,"High school"
"nhanes11_12w",70,2767337.568156,824936.011324596,54.9954150451362,35.9559019407537,72.6760746726667,9.03142067579997,"High school"
"nhanes13_14w",82,2709571.10283,453086.312441561,50.1263491145903,39.1476525940306,61.0928757958655,5.2330708635524,"High school"
"nhanes15_16w",81,3053217.217542,680855.071114698,62.7080127995148,48.1374391574117,75.2866347994587,6.51975083936429,"High school"
"nhanes17_18w",109,4583425.37622631,567133.589989051,63.1045836297219,52.0445358759083,72.9400895977809,4.96883037903311,"High school"
