"","Unweighted_Count","Weighted_Count.total","Weighted_Count.high_srh","Proportion","Lower_CI","Upper_CI","SE","Race"
"nhanes01_02w",102,4519566.22244,447867.478053883,59.7830557849255,49.2540746386489,69.4810651180553,4.74402790115834,"NH White"
"nhanes03_04w",118,5964302.608828,932620.653495462,62.2495335187047,49.7375388386081,73.3177651789875,5.50761185469042,"NH White"
"nhanes05_06w",102,6073014.537739,819915.579671519,67.7586861788208,59.462260572632,75.0690719914679,3.60555458349326,"NH White"
"nhanes07_08w",147,6110683.757047,951470.804122027,57.982015148484,46.1928558968116,68.9257723410382,5.352334533763,"NH White"
"nhanes09_10w",148,6330888.397556,744635.542422557,62.0340926652003,50.2261052156623,72.5706467268649,5.32540061958816,"NH White"
"nhanes11_12w",111,6993100.310718,1153493.99310057,60.4533646399961,47.0844491332313,72.4229177676012,5.98848109641925,"NH White"
"nhanes13_14w",149,9090024.918849,1186357.39455097,65.8169123490765,56.6514256197081,73.9360676037813,4.06480000066904,"NH White"
"nhanes15_16w",133,10343324.090007,1746009.81799747,72.0515762188418,58.1218195316403,82.7250728861908,5.77212303183063,"NH White"
"nhanes17_18w",166,11146446.0584902,877165.43663576,67.7381477363687,62.2096842386325,72.8113099801324,2.47908658764671,"NH White"
