"","Unweighted_Count","Weighted_Count.total","Weighted_Count.high_srh","Proportion","Lower_CI","Upper_CI","SE","CKD"
"nhanes01_02w",76,2260763.007536,281537.807694263,46.8319524373629,38.0594361728665,55.8047690414911,4.20709628865651,"CKD"
"nhanes03_04w",107,3426640.816321,571067.34519038,55.3093704869493,47.5775205222956,62.7926590164389,3.59680551480693,"CKD"
"nhanes05_06w",94,3190485.178746,375504.625013254,53.5065514826347,45.4627828678466,61.3719621499128,3.76382272966533,"CKD"
"nhanes07_08w",133,3389711.056757,424079.654827398,48.836777715433,40.4303448765198,57.3095274126357,4.01956426682497,"CKD"
"nhanes09_10w",134,3610334.978877,408559.922771153,58.209087160472,52.8611953662456,63.3706766245005,2.48768038735118,"CKD"
"nhanes11_12w",123,3674495.182034,381864.164674578,48.426991519989,42.1839534828219,54.7195143646639,2.98646543282552,"CKD"
"nhanes13_14w",134,4962450.931067,610942.992130508,55.9762113012959,46.8963398646994,64.673075135672,4.21421637390322,"CKD"
"nhanes15_16w",128,4843290.513218,584243.051413523,57.9318630917053,45.9591201931706,69.038981584783,5.51076124654653,"CKD"
"nhanes17_18w",172,5897482.74654904,738335.323496438,57.3456432071003,48.8097725042375,65.4652408214754,3.94297165892315,"CKD"
