"","Unweighted_Count","Proportion","Lower_CI","Upper_CI","SE","Education"
"nhanes01_02w",111,63.0355164542617,51.3953658597898,73.3343405097803,5.22447327375412,"Less than high school"
"nhanes03_04w",127,61.4385619801139,54.5906587545179,67.8617338541022,3.11103184734949,"Less than high school"
"nhanes05_06w",102,58.3819412980358,42.2265904161168,72.9171540333664,7.43190604728879,"Less than high school"
"nhanes07_08w",172,58.7008596804768,49.5555644917544,67.2827904406113,4.22430069261499,"Less than high school"
"nhanes09_10w",154,59.0113795716088,47.700707448647,69.4429104209771,5.18010509788095,"Less than high school"
"nhanes11_12w",133,58.3702924741241,45.950570550199,69.8111015882008,5.73497632844766,"Less than high school"
"nhanes13_14w",124,58.1090048090073,46.5643233734009,68.8291388790896,5.30936687575912,"Less than high school"
"nhanes15_16w",145,54.8798906405182,45.7512565784489,63.6914826418279,4.25404803048548,"Less than high school"
"nhanes17_18w",134,64.7093121268688,54.1429553677029,74.0097032028971,4.68683825098506,"Less than high school"
